carat,color,clarity,cut,channel,store,price
0.826,4,7,1,1,1,7775
0.996,5,6,1,1,1,9850
1.07,4,7,1,1,1,10950
1.07,7,7,0,1,1,7500
1.01,8,6,0,1,1,6995
0.66,3,4,1,1,1,6100
0.701,4,8,1,1,1,6300
0.97,8,6,0,1,1,4850
0.74,1,9,0,1,1,5895
2.04,5,6,0,1,1,23000
0.545,2,8,1,1,1,3895
1.085,4,8,0,1,2,5234
1.1,5,7,0,1,2,5375
1.21,6,6,0,1,2,6171
0.77,1,8,1,1,2,4256
1.05,3,7,0,1,2,6404
1.01,5,7,0,1,2,5476
1.14,4,5,0,1,2,5472
0.82,3,8,1,1,2,3878
1.01,7,7,0,0,3,5000
1.02,3,8,0,0,3,5999
1.16,4,8,0,0,3,4999
0.77,1,5,0,0,3,6999
0.87,2,5,0,0,3,6999
1.03,5,6,1,0,3,8900
0.59,5,8,0,0,3,2495
1.11,5,8,0,0,3,6000
1.02,9,6,0,0,3,3999
1.03,6,9,0,0,3,3900
1.01,7,6,0,0,3,4900
0.51,2,9,0,0,3,2895
0.7,6,7,0,0,3,3500
0.75,5,9,0,0,3,3200
2.37,7,9,0,0,3,9999
1.5,6,7,0,0,4,9499
1.2,4,9,0,0,4,5299
0.72,6,8,0,0,4,3499
0.72,5,8,1,0,4,4299
0.7,6,7,1,0,4,4299
0.69,4,7,1,0,4,4099
1.01,5,7,1,0,4,8699
1,5,7,0,1,5,5500
1.01,7,8,0,1,5,4350
1.01,4,6,0,1,5,5900
1.16,3,7,0,1,5,6500
1.24,7,9,0,1,5,5590
1.23,7,8,0,1,5,5590
1.11,2,9,0,1,5,5590
0.92,4,8,0,1,6,4390
0.504,5,7,0,1,6,1420
0.59,6,4,0,1,6,1770
0.69,5,6,0,1,6,2139
0.95,6,5,0,1,6,4560
0.545,3,7,0,1,6,1890
1,5,7,0,1,6,4495
1.022,7,7,0,1,6,4300
1.007,2,7,0,1,6,6200
1.05,2,8,0,1,6,6250
1.02,6,7,0,1,6,4850
1.01,2,6,0,1,6,5500
1.01,3,6,0,1,6,6500
1.5,6,6,0,0,7,16150
2.11,3,9,0,0,7,16500
0.4,4,8,1,0,7,2245
0.47,2,8,0,0,7,3080
0.66,3,8,0,0,7,4125
0.32,3,8,0,0,7,1375
1.03,6,5,0,0,7,6299
1.03,6,7,0,0,7,4949
0.69,6,6,1,0,7,6455
1.02,4,9,1,0,7,8735
0.7,4,8,1,0,7,6685
0.98,6,5,0,0,7,6659
1,8,10,0,0,7,2900
0.35,5,8,1,0,7,1680
0.83,4,8,0,0,8,3995
0.72,5,8,1,0,8,3499
0.7,5,6,0,0,8,4990
1.06,5,6,0,0,8,10255
1,8,10,0,0,8,2999
0.72,7,9,0,0,8,2699
0.72,6,9,0,0,8,2699
1.14,3,7,0,1,9,8100
1.04,5,6,0,1,9,6700
0.86,3,8,0,1,9,4200
1.27,6,8,0,1,9,5302
1.05,5,7,0,1,9,5800
0.61,4,3,1,1,9,3750
0.71,5,4,1,1,9,4200
0.54,4,5,0,1,9,2230
1.51,4,8,0,1,9,9000
2,2,6,1,2,10,22431
2,1,5,0,2,10,27575
2,4,4,0,2,10,21545
2,3,5,0,2,10,21933
2,3,5,0,2,10,22706
2,6,5,0,2,10,14504
1.9,4,3,1,2,10,19488
1.93,3,4,0,2,10,19997
2,2,4,0,2,10,26623
2,6,6,1,2,10,16641
2,1,7,0,2,10,19776
2,2,7,0,2,10,19227
1.58,7,6,0,2,10,7894
1.43,3,3,1,2,10,13128
1.74,6,8,0,2,10,8664
1.5,5,4,0,2,10,11441
1.66,3,8,1,2,10,11244
1.71,4,8,0,2,10,10704
1.5,5,6,1,2,10,10108
1.5,5,6,1,2,10,11767
1.5,5,6,1,2,10,11119
1.5,5,6,1,2,10,10848
1.52,7,4,0,2,10,8676
1.53,1,7,1,2,10,13708
1.7,3,8,0,2,10,10863
1.6,5,7,0,2,10,10292
1.6,5,7,0,2,10,10390
1.6,5,7,0,2,10,10638
1.59,7,7,1,2,10,7792
1.51,5,5,0,2,10,10697
1.5,7,6,1,2,10,8095
1.51,6,6,1,2,10,9422
1.52,7,6,0,2,10,7230
1.26,6,5,0,2,10,6494
1.18,3,5,1,2,10,8566
1.18,3,5,1,2,10,8876
1.2,6,4,1,2,10,7013
1.17,5,2,1,2,10,8089
1.17,5,2,1,2,10,8089
1.37,6,6,0,2,10,6570
1.24,6,4,0,2,10,6358
1.27,5,6,0,2,10,7083
1.24,5,5,0,2,10,7404
1.17,4,4,1,2,10,8533
1.3,6,7,1,2,10,6014
1.24,6,6,1,2,10,6149
1.21,6,5,1,2,10,6296
1.21,6,5,1,2,10,6493
1.21,6,5,1,2,10,6826
1.51,3,8,0,2,10,9299
1.21,4,4,0,2,10,8526
1.21,4,4,0,2,10,8683
1.04,5,2,1,2,10,7150
1.07,1,6,1,2,10,8622
1.04,1,5,1,2,10,8369
1.04,1,5,1,2,10,8445
1.04,1,5,1,2,10,8522
1.04,1,5,1,2,10,8522
1.01,1,2,1,2,10,15909
1.12,3,6,0,2,10,7350
1.11,6,4,0,2,10,5889
1.14,5,6,0,2,10,6486
1.13,7,6,1,2,10,4871
1.13,7,6,1,2,10,5314
1.13,2,7,1,2,10,7159
1.04,4,4,1,2,10,7475
1.04,4,4,1,2,10,7542
1.04,4,4,1,2,10,7542
1.04,2,5,1,2,10,7888
1.04,2,5,1,2,10,8175
1.04,2,5,1,2,10,8175
1.04,2,5,1,2,10,8687
1.04,2,6,0,2,10,7018
1,4,3,0,2,10,7522
1.01,2,5,0,2,10,7325
1.01,2,5,0,2,10,7372
1.01,2,5,0,2,10,7790
1.14,6,7,0,2,10,4900
1.14,6,7,0,2,10,5084
1.08,6,6,0,2,10,4965
1.08,6,6,0,2,10,5012
1.08,6,6,0,2,10,4965
1.08,6,6,0,2,10,4996
1.12,5,5,0,2,10,6292
1,3,4,0,2,10,7296
1,3,4,0,2,10,7365
1,3,4,0,2,10,7710
1,3,4,0,2,10,7296
1.05,6,5,0,2,10,5247
1.02,5,4,0,2,10,6580
1.01,4,6,1,2,10,6308
1.01,4,6,1,2,10,6885
1.1,2,8,1,2,10,6740
1.03,5,4,0,2,10,5995
0.99,5,6,0,2,10,5252
1.14,6,8,1,2,10,4555
1.02,6,7,1,2,10,4525
1.02,6,7,1,2,10,4690
1.02,6,7,1,2,10,4566
1.02,7,6,0,2,10,4152
1.02,7,6,0,2,10,4257
1.02,7,6,0,2,10,4336
1.02,7,6,0,2,10,4257
1.02,7,6,0,2,10,4218
1.02,7,6,0,2,10,4178
1.12,4,7,0,2,10,5837
1.18,6,8,0,2,10,4552
1.02,2,7,0,2,10,5961
1.02,2,7,0,2,10,6201
1,4,2,0,2,10,7427
1.11,3,7,0,2,10,6149
1.08,7,7,0,2,10,3997
0.9,3,7,1,2,10,4799
0.9,3,7,1,2,10,5195
1.02,7,6,0,2,10,4056
1.02,7,6,0,2,10,4074
1.02,7,6,0,2,10,4074
1.02,7,6,0,2,10,4099
1.02,2,7,0,2,10,5908
1.02,2,7,0,2,10,5934
1.06,3,8,0,2,10,5171
1.06,3,8,0,2,10,5296
1.06,3,8,0,2,10,5296
1.08,5,8,0,2,10,4822
1.05,1,8,0,2,10,5954
0.94,3,7,0,2,10,4912
1,6,6,0,2,10,4372
1,6,6,0,2,10,4452
1,6,6,0,2,10,4452
1,6,6,0,2,10,4538
1,6,6,0,2,10,4452
0.72,5,4,1,2,10,3430
0.72,5,4,1,2,10,3430
0.72,5,4,1,2,10,3240
1.07,5,8,0,2,10,4657
1,6,8,0,2,10,3826
0.78,2,6,0,2,10,3758
1.04,1,8,0,2,10,5694
1.04,1,8,0,2,10,5694
1.04,1,8,0,2,10,5694
1.04,1,8,0,2,10,5694
0.93,4,8,1,2,10,4338
0.92,1,7,0,2,10,4973
0.81,4,7,1,2,10,3433
0.81,4,7,1,2,10,3625
0.92,3,8,1,2,10,4208
0.92,3,8,1,2,10,4767
0.75,4,6,1,2,10,3273
0.72,4,5,1,2,10,3308
0.72,4,5,1,2,10,3648
0.72,4,5,1,2,10,3318
0.91,1,6,0,2,10,5030
0.7,6,6,1,2,10,2450
0.7,6,6,1,2,10,2450
0.62,3,4,1,2,10,3080
0.61,3,3,1,2,10,3147
0.77,4,5,0,2,10,3348
0.76,2,7,0,2,10,3409
0.7,2,6,0,2,10,3291
0.7,2,6,0,2,10,3322
0.7,2,6,0,2,10,3322
0.7,2,6,0,2,10,3322
0.73,2,4,0,2,10,4215
0.71,6,5,0,2,10,2504
0.71,6,5,0,2,10,2611
0.91,2,6,0,2,10,4841
0.64,4,5,1,2,10,2524
0.72,3,7,1,2,10,3109
0.72,3,7,1,2,10,3138
0.74,5,7,1,2,10,2678
1,6,8,0,2,10,3730
0.59,2,7,1,2,10,2122
0.59,2,7,1,2,10,2301
0.53,2,6,1,2,10,2165
0.53,2,6,1,2,10,2274
0.5,2,5,1,2,10,2213
0.5,2,5,1,2,10,2233
0.54,6,5,1,2,10,1536
0.63,2,7,0,2,10,2268
0.54,2,5,0,2,10,2302
0.72,3,7,0,2,10,2905
0.72,4,8,1,2,10,2628
0.65,1,6,0,2,10,2665
0.71,3,8,1,2,10,3085
0.51,4,5,1,2,10,1985
0.7,1,8,1,2,10,3016
0.7,1,8,1,2,10,3384
0.7,1,8,1,2,10,3116
0.53,3,6,1,2,10,2202
0.53,3,6,1,2,10,2202
0.5,3,5,1,2,10,2093
0.4,6,5,1,2,10,949
0.4,2,5,0,2,10,1271
0.37,4,5,1,2,10,1109
0.36,3,5,1,2,10,1109
0.38,5,5,1,2,10,1025
0.38,4,2,0,2,10,1441
0.41,6,3,0,2,10,930
0.35,4,4,1,2,10,1078
0.35,2,5,1,2,10,1243
0.42,6,6,1,2,10,878
0.39,4,6,1,2,10,1094
0.39,4,6,1,2,10,1094
0.36,4,5,1,2,10,998
0.36,4,5,1,2,10,1079
0.38,3,6,1,2,10,1062
0.35,3,5,1,2,10,1078
0.37,1,6,1,2,10,1273
0.38,6,5,1,2,10,902
0.35,6,2,1,2,10,893
0.38,4,6,1,2,10,986
0.51,2,6,0,2,11,2010
0.56,4,4,0,2,11,2010
0.55,1,7,1,2,11,2010
0.58,2,7,1,2,11,2010
0.55,3,5,0,2,11,2020
0.5,1,5,0,2,11,2040
0.52,2,5,0,2,11,2040
0.52,1,6,0,2,11,2050
0.58,4,5,0,2,11,2050
0.63,5,2,0,2,11,2050
0.63,5,2,0,2,11,2480
0.62,5,3,1,2,11,2520
0.6,2,5,0,2,11,2530
0.72,4,8,0,2,11,2450
0.59,4,2,0,2,11,2600
0.99,5,9,1,2,11,2620
0.73,6,4,0,2,11,2680
0.59,2,3,0,2,11,2680
0.71,4,3,0,2,11,3460
0.72,4,5,1,2,11,3470
0.73,2,6,0,2,11,3490
0.75,4,4,0,2,11,3490
0.72,3,4,0,2,11,3490
0.7,3,5,0,2,11,3490
0.73,3,7,1,2,11,3490
0.74,5,3,1,2,11,3500
0.85,3,7,0,2,11,3510
1.08,6,7,0,2,11,4850
1.15,6,7,1,2,11,4860
1.06,6,6,0,2,11,4870
1.01,6,5,0,2,11,4870
1.02,4,8,0,2,11,4870
1.12,7,6,1,2,11,4870
1.03,5,7,0,2,11,4870
1.02,6,5,0,2,11,4870
1.13,7,6,1,2,11,4880
1.05,2,8,0,2,11,5550
1.01,4,6,0,2,11,5550
1.01,5,7,1,2,11,5550
1.05,2,8,0,2,11,5560
1.05,2,8,0,2,11,5560
1.02,1,8,0,2,11,5560
1.03,4,7,0,2,11,5570
1.02,6,2,0,2,11,5570
1.1,6,5,1,2,11,5590
1.08,3,7,0,2,11,6180
1.37,7,6,1,2,11,6180
1.05,4,7,0,2,11,6180
1.05,4,7,1,2,11,6180
1.14,5,6,0,2,11,6190
1.24,4,8,0,2,11,6190
1.34,7,6,0,2,11,6190
1.16,5,7,1,2,11,6190
1.07,5,5,0,2,11,6200
1.23,5,7,1,2,11,7070
1.32,6,6,1,2,11,7070
1.04,2,7,1,2,11,7070
1.24,6,5,1,2,11,7080
1.11,3,6,0,2,11,7110
1.02,1,6,0,2,11,7110
1.12,3,6,0,2,11,7120
1.27,5,7,1,2,11,7120
1.12,4,5,0,2,11,7120
1.36,5,5,0,2,11,8710
1.3,4,6,1,2,11,8710
1.38,3,7,1,2,11,8730
1.2,4,4,0,2,11,8740
1.5,7,4,0,2,11,8760
1.26,2,7,1,2,11,8760
1.52,3,8,0,2,11,8770
1.21,4,4,1,2,11,8770
1.31,5,4,0,2,11,8780
1.52,6,5,0,2,11,10040
1.5,6,3,0,2,11,10050
1.53,5,7,0,2,11,10080
1.5,5,7,0,2,11,10130
1.5,5,7,0,2,11,10130
1.6,4,8,0,2,11,10150
2.27,8,6,0,2,11,10180
1.6,6,6,0,2,11,10220
1.62,6,6,0,2,11,10220
1.71,3,8,0,2,11,11840
2.02,7,6,0,2,11,11840
1.5,6,6,1,2,11,11860
1.5,4,6,1,2,11,11880
1.59,5,4,1,2,11,11890
1.62,5,5,0,2,11,11910
1.62,5,5,0,2,11,11910
1.7,6,5,0,2,11,11930
2.13,7,4,0,2,11,13680
2.1,6,7,0,2,11,13680
1.8,4,7,0,2,11,13700
2.2,6,7,1,2,11,13700
2.01,6,5,0,2,11,13740
1.54,4,4,0,2,11,13760
1.58,1,8,1,2,11,13810
1.72,5,4,0,2,11,13820
1.5,2,6,1,2,11,13820
2.01,5,5,0,2,11,17010
2.01,5,6,0,2,11,17020
2.02,5,6,0,2,11,17100
1.78,2,7,0,2,11,17160
1.76,2,6,0,2,11,17230
1.82,4,4,0,2,11,17270
1.7,2,5,0,2,11,17290
2.48,6,6,0,2,11,17440
2.01,5,6,0,2,11,17450
0.75,7,9,0,0,12,2499
1,9,9,0,0,12,2999
0.75,9,9,0,0,12,1599
0.5,9,9,0,0,12,799
0.5,7,9,0,0,12,997
0.25,6,9,0,0,12,599
0.2,6,9,0,0,12,497
1.5,9,8,0,0,12,7350
0.705,2,6,0,0,12,5354
0.675,6,8,0,0,12,2537
1.05,6,7,0,0,12,7140
0.78,6,8,0,0,12,6699
0.375,6,8,0,0,12,1542
0.58,7,6,0,0,12,3389
0.395,4,8,0,0,12,1850
0.39,5,8,0,0,12,1761